CU_Name	Year	catch	exploit	escape	enroute.loss	DUID
Anderson-Seton-ES	1952	22956	0.76	7070	0	1
Anderson-Seton-ES	1953	516	0.87	74	0	1
Anderson-Seton-ES	1954	255	0.85	45	0	1
Anderson-Seton-ES	1955	546	0.88	77	0	1
Anderson-Seton-ES	1956	29536	0.79	7807	0	1
Anderson-Seton-ES	1957	7577	0.89	891	0	1
Anderson-Seton-ES	1958	357	0.85	61	0	1
Anderson-Seton-ES	1959	1847	0.76	582	0	1
Anderson-Seton-ES	1960	9154	0.63	5413	0	1
Anderson-Seton-ES	1961	1997	0.89	248	0	1
Anderson-Seton-ES	1962	269	0.63	159	0	1
Anderson-Seton-ES	1963	4861	0.54	4113	0	1
Anderson-Seton-ES	1964	63833	0.77	19396	0	1
Anderson-Seton-ES	1965	12071	0.88	1642	0	1
Anderson-Seton-ES	1966	343	0.84	65	0	1
Anderson-Seton-ES	1967	5631	0.83	1138	0	1
Anderson-Seton-ES	1968	89966	0.9	10244	0	1
Anderson-Seton-ES	1969	2031	0.72	777	0	1
Anderson-Seton-ES	1970	250	0.76	78	0	1
Anderson-Seton-ES	1971	4650	0.92	426	0	1
Anderson-Seton-ES	1972	70311	0.89	8323	0	1
Anderson-Seton-ES	1973	3164	0.8	795	0	1
Anderson-Seton-ES	1974	252	0.78	70	0	1
Anderson-Seton-ES	1975	5739	0.74	1982	0	1
Anderson-Seton-ES	1976	110904	0.87	17207	0	1
Anderson-Seton-ES	1977	7186	0.74	2582	0	1
Anderson-Seton-ES	1978	5049	0.95	258	0	1
Anderson-Seton-ES	1979	12060	0.76	3828	0	1
Anderson-Seton-ES	1980	42747	0.63	25088	0	1
Anderson-Seton-ES	1981	14761	0.76	4670	0	1
Anderson-Seton-ES	1982	3492	0.79	930	0	1
Anderson-Seton-ES	1983	8716	0.54	7384	0	1
Anderson-Seton-ES	1984	48054	0.62	28899	0	1
Anderson-Seton-ES	1985	11342	0.71	4578	0	1
Anderson-Seton-ES	1986	5207	0.59	3572	0	1
Anderson-Seton-ES	1987	17657	0.65	9417	0	1
Anderson-Seton-ES	1988	70366	0.61	44998	0	1
Anderson-Seton-ES	1989	118946	0.87	17026	0	1
Anderson-Seton-ES	1990	25782	0.83	5374	0	1
Anderson-Seton-ES	1991	13996	0.6	9159	0	1
Anderson-Seton-ES	1992	251822	0.81	41747	15758	1
Anderson-Seton-ES	1993	25061	0.58	17952	0	1
Anderson-Seton-ES	1994	15911	0.73	3396	2393	1
Anderson-Seton-ES	1995	13898	0.66	7181	0	1
Anderson-Seton-ES	1996	77213	0.44	99998	0	1
Anderson-Seton-ES	1997	41734	0.67	6498	14321	1
Anderson-Seton-ES	1998	9355	0.28	7248	16992	1
Anderson-Seton-ES	1999	7163	0.21	4507	21788	1
Anderson-Seton-ES	2000	100904	0.53	88647	0	1
Anderson-Seton-ES	2001	7207	0.36	12921	0	1
Anderson-Seton-ES	2002	2843	0.57	2173	0	1
Anderson-Seton-ES	2003	18885	0.49	9811	9597	1
Anderson-Seton-ES	2004	45440	0.51	9606	34587	1
Anderson-Seton-ES	2005	10867	0.23	15150	21437	1
Anderson-Seton-ES	2006	6429	0.37	2858	8313	1
Anderson-Seton-ES	2007	1584	0.35	2555	435	1
Anderson-Seton-ES	2008	14081	0.35	14838	11581	1
Anderson-Seton-ES	2009	2644	0.12	9878	9878	1
Anderson-Seton-ES	2010	6595	0.26	15766	3344	1
Anderson-Seton-ES	2011	36370	0.3	55860	27930	1
Bowron-ES	1952	61576	0.77	18645	0	2
Bowron-ES	1953	49469	0.79	13277	0	2
Bowron-ES	1954	54850	0.84	10515	0	2
Bowron-ES	1955	97264	0.86	9350	6462	2
Bowron-ES	1956	29998	0.81	6994	0	2
Bowron-ES	1957	64892	0.84	12011	0	2
Bowron-ES	1958	53105	0.78	14843	0	2
Bowron-ES	1959	66669	0.7	29247	0	2
Bowron-ES	1960	24255	0.76	7620	0	2
Bowron-ES	1961	44457	0.86	7449	0	2
Bowron-ES	1962	12617	0.67	6286	0	2
Bowron-ES	1963	31480	0.56	25141	0	2
Bowron-ES	1964	16178	0.71	1500	5000	2
Bowron-ES	1965	24627	0.9	2659	0	2
Bowron-ES	1966	17665	0.88	2470	0	2
Bowron-ES	1967	175777	0.85	31695	0	2
Bowron-ES	1968	31120	0.9	3611	0	2
Bowron-ES	1969	14989	0.79	3872	0	2
Bowron-ES	1970	20920	0.94	1305	0	2
