Proposed DU Name,DUID,Year,EFS
Anderson-Seton-ES,1,1950,NA
Anderson-Seton-ES,1,1951,NA
Anderson-Seton-ES,1,1952,NA
Anderson-Seton-ES,1,1953,NA
Anderson-Seton-ES,1,1954,18
Anderson-Seton-ES,1,1955,31
Anderson-Seton-ES,1,1956,4147
Anderson-Seton-ES,1,1957,429
Anderson-Seton-ES,1,1958,31
Anderson-Seton-ES,1,1959,370
Anderson-Seton-ES,1,1960,2772
Anderson-Seton-ES,1,1961,120
Anderson-Seton-ES,1,1962,68
Anderson-Seton-ES,1,1963,1068
Anderson-Seton-ES,1,1964,8206
Anderson-Seton-ES,1,1965,941
Anderson-Seton-ES,1,1966,30
Anderson-Seton-ES,1,1967,351
Anderson-Seton-ES,1,1968,3834
Anderson-Seton-ES,1,1969,360
Anderson-Seton-ES,1,1970,14
Anderson-Seton-ES,1,1971,115
Anderson-Seton-ES,1,1972,3128
Anderson-Seton-ES,1,1973,351
Anderson-Seton-ES,1,1974,37
Anderson-Seton-ES,1,1975,1246
Anderson-Seton-ES,1,1976,8820
Anderson-Seton-ES,1,1977,1174
Anderson-Seton-ES,1,1978,129
Anderson-Seton-ES,1,1979,1649
Anderson-Seton-ES,1,1980,11032
Anderson-Seton-ES,1,1981,1907
Anderson-Seton-ES,1,1982,439
Anderson-Seton-ES,1,1983,3055
Anderson-Seton-ES,1,1984,9148
Anderson-Seton-ES,1,1985,2032
Anderson-Seton-ES,1,1986,1880
Anderson-Seton-ES,1,1987,4105
Anderson-Seton-ES,1,1988,17841
Anderson-Seton-ES,1,1989,9795
Anderson-Seton-ES,1,1990,3304
Anderson-Seton-ES,1,1991,4618
Anderson-Seton-ES,1,1992,9224
Anderson-Seton-ES,1,1993,8780
Anderson-Seton-ES,1,1994,1706
Anderson-Seton-ES,1,1995,4533
Anderson-Seton-ES,1,1996,14139
Anderson-Seton-ES,1,1997,1877
Anderson-Seton-ES,1,1998,2442
Anderson-Seton-ES,1,1999,1765
Anderson-Seton-ES,1,2000,16571
Anderson-Seton-ES,1,2001,4007
Anderson-Seton-ES,1,2002,1144
Anderson-Seton-ES,1,2003,5036
Anderson-Seton-ES,1,2004,5483
Anderson-Seton-ES,1,2005,8851
Anderson-Seton-ES,1,2006,1456
Anderson-Seton-ES,1,2007,1079
Anderson-Seton-ES,1,2008,1752
