Conservation Unit,Brood Year,rec2,rec3,rec4,rec5,total rec (4+5),effective female spawners,DUID
Takla-Trembleur-Estu,1948,0,0,0.179412,0.018741,0.198153,0.010859,20
Takla-Trembleur-Estu,1949,0,0.006218,1.029437,0.001271,1.030708,0.168458,20
Takla-Trembleur-Estu,1950,0,0.000579,0.240545,0.000542,0.241087,0.025658,20
Takla-Trembleur-Estu,1951,0,0.000009,0.158428,0.015217,0.173645,0.029785,20
Takla-Trembleur-Estu,1952,0,0.000028,0.078012,0.01056,0.088572,0.015484,20
Takla-Trembleur-Estu,1953,0,0.000294,0.537711,0.002886,0.540597,0.078238,20
Takla-Trembleur-Estu,1954,0,0.000341,0.154781,0.000701,0.155482,0.01801,20
Takla-Trembleur-Estu,1955,0,0.000011,0.025824,0.001632,0.027456,0.001397,20
Takla-Trembleur-Estu,1956,0,0,0.101035,0.006393,0.107428,0.016661,20
Takla-Trembleur-Estu,1957,0,0.00073,1.215763,0.003272,1.219035,0.119273,20
Takla-Trembleur-Estu,1958,0,0.000755,0.102112,0.00024,0.102352,0.022196,20
Takla-Trembleur-Estu,1959,0,0,0.014682,0.006153,0.020835,0.001297,20
Takla-Trembleur-Estu,1960,0,0.000022,0.069925,0.004202,0.074127,0.007401,20
Takla-Trembleur-Estu,1961,0,0.00063,0.252123,0.002208,0.254331,0.087782,20
Takla-Trembleur-Estu,1962,0,0,0.067661,0.005992,0.073653,0.014103,20
Takla-Trembleur-Estu,1963,0,0.000332,0.090397,0.001825,0.092222,0.00259,20
Takla-Trembleur-Estu,1964,0,0.001027,0.02594,0.012949,0.038889,0.0013,20
Takla-Trembleur-Estu,1965,0,0.000432,0.415253,0.001526,0.416779,0.011241,20
Takla-Trembleur-Estu,1966,0,0.001746,0.08304,0,0.08304,0.005959,20
Takla-Trembleur-Estu,1967,0,0.000423,0.326142,0.013128,0.33927,0.011167,20
Takla-Trembleur-Estu,1968,0,0.000011,0.010412,0,0.010412,0.000793,20
Takla-Trembleur-Estu,1969,0,0.000648,1.366181,0.004452,1.370633,0.048796,20
Takla-Trembleur-Estu,1970,0,0.001212,0.178232,0.001312,0.179544,0.015806,20
Takla-Trembleur-Estu,1971,0,0.000311,0.42351,0.006993,0.430503,0.04561,20
Takla-Trembleur-Estu,1972,0,0.000025,0.032207,0,0.032207,0.002253,20
Takla-Trembleur-Estu,1973,0,0.004591,1.342456,0.003951,1.346407,0.153876,20
Takla-Trembleur-Estu,1974,0,0.001242,0.141307,0.002218,0.143525,0.02161,20
Takla-Trembleur-Estu,1975,0,0.00015,0.220007,0.002852,0.222859,0.026252,20
Takla-Trembleur-Estu,1976,0,0.000043,0.0288,0.003034,0.031834,0.006792,20
Takla-Trembleur-Estu,1977,0,0.000572,0.752467,0.008655,0.761122,0.053363,20
Takla-Trembleur-Estu,1978,0,0.000202,0.07147,0.00118,0.07265,0.020004,20
Takla-Trembleur-Estu,1979,0,0.000034,0.089807,0.017889,0.107696,0.03617,20
Takla-Trembleur-Estu,1980,0,0.00001,0.03795,0.025541,0.063491,0.007361,20
Takla-Trembleur-Estu,1981,0,0.000046,0.33129,0.018805,0.350095,0.071485,20
Takla-Trembleur-Estu,1982,0,0.000013,0.026796,0.001007,0.027803,0.002158,20
Takla-Trembleur-Estu,1983,0,0.000423,0.17676,0.010949,0.187709,0.013121,20
Takla-Trembleur-Estu,1984,0,0.00024,0.209867,0.029536,0.239403,0.021868,20
Takla-Trembleur-Estu,1985,0,0.002414,1.179879,0.026057,1.205936,0.118124,20
Takla-Trembleur-Estu,1986,0,0.000056,0.12828,0.017603,0.145883,0.01516,20
Takla-Trembleur-Estu,1987,0,0.000008,0.494847,0.031065,0.525912,0.075524,20
Takla-Trembleur-Estu,1988,0,0.000033,0.319342,0.059894,0.379236,0.088071,20
Takla-Trembleur-Estu,1989,0,0.00042,1.091749,0.045932,1.137681,0.211041,20
Takla-Trembleur-Estu,1990,0,0.000002,0.156963,0.009121,0.166084,0.047065,20
Takla-Trembleur-Estu,1991,0,0.000514,0.129192,0.014581,0.143773,0.085456,20
Takla-Trembleur-Estu,1992,0,0.00001,0.080797,0.019569,0.100366,0.036565,20
Takla-Trembleur-Estu,1993,0,0.000847,1.652166,0.16177,1.813936,0.386806,20
Takla-Trembleur-Estu,1994,0,0.000006,0.02799,0.001034,0.029024,0.014499,20
Takla-Trembleur-Estu,1995,0,0.00002,0.170595,0.018985,0.18958,0.057342,20
Takla-Trembleur-Estu,1996,0,0,0.359206,0.10494,0.464146,0.041063,20
Takla-Trembleur-Estu,1997,0,0.000001,0.109249,0.038121,0.14737,0.073416,20
Takla-Trembleur-Estu,1998,0,0.000002,0.024341,0.004349,0.02869,0.009332,20
Takla-Trembleur-Estu,1999,0,0,0.025927,0.004639,0.030566,0.008189,20
Takla-Trembleur-Estu,2000,0,0,0.132457,0.003417,0.135874,0.035333,20
Takla-Trembleur-Estu,2001,0,0.000005,0.216279,0.035722,0.252001,0.082852,20
Takla-Trembleur-Estu,2002,0,0,0.020266,0.0043,0.024566,0.012921,20
Takla-Trembleur-Estu,2003,0,0,0.008431,0.001588,0.010019,0.006932,20
Takla-Trembleur-Estu,2004,0,0,0.032387,0.005094258,0.037481258,0.005181,20
Takla-Trembleur-Estu,2005,0,0.000049,0.076375084,0.007843862,0.084218946,0.051153,20
Takla-Trembleur-Estu,2006,0,0,0.096013086,0.010603435,0.106616521,0.015914,20
Takla-Trembleur-Estu,2007,0,0,0.010551366,NA,NA,0.002376,20
Takla-Trembleur-Estu,2008,NA,NA,NA,NA,NA,0.014446,20
Takla-Trembleur-Estu,2009,NA,NA,NA,NA,NA,0.021884,20
Takla-Trembleur-Estu,2010,NA,NA,NA,NA,NA,0.034197,20
Takla-Trembleur-Estu,2011,NA,NA,NA,NA,NA,0.000233,20
Takla-Trembleur-Estu,2012,NA,NA,NA,NA,NA,0.006812,20
Takla-Trembleur-Estu,2013,NA,NA,NA,NA,NA,0.039658,20
Takla-Trembleur-Stuart-S,1948,0,0,0.000327,0,0.000327,NA,21
Takla-Trembleur-Stuart-S,1949,0,0.003433,1.526554,0,1.526554,0.039085,21
Takla-Trembleur-Stuart-S,1950,0,0.000591,0.036671,0.002419,0.03909,0.001834,21
Takla-Trembleur-Stuart-S,1951,0,0,0.056085,0.007559,0.063644,0.001246,21
Takla-Trembleur-Stuart-S,1952,0,0.000086,0.003858,0.000029,0.003887,0.000016,21
Takla-Trembleur-Stuart-S,1953,0,0.00083,1.548072,0.00147,1.549542,0.078686,21
Takla-Trembleur-Stuart-S,1954,0,0.00015,0.135111,0.002704,0.137815,0.002687,21
Takla-Trembleur-Stuart-S,1955,0,0.000029,0.050196,0.00112,0.051316,0.003274,21
Takla-Trembleur-Stuart-S,1956,0,0,0.013472,0.03263,0.046102,0.000466,21
Takla-Trembleur-Stuart-S,1957,0,0.000874,1.327094,0.001916,1.32901,0.300038,21
Takla-Trembleur-Stuart-S,1958,0,0.000672,0.053044,0.000961,0.054005,0.013152,21
Takla-Trembleur-Stuart-S,1959,0,0.000067,0.006092,0.001233,0.007325,0.00409,21
Takla-Trembleur-Stuart-S,1960,0,0.000027,0.006658,0.002932,0.00959,0.001307,21
Takla-Trembleur-Stuart-S,1961,0,0.000143,0.770385,0.007535,0.77792,0.194461,21
Takla-Trembleur-Stuart-S,1962,0,0.000045,0.043107,0.001917,0.045024,0.009073,21
Takla-Trembleur-Stuart-S,1963,0,0.000025,0.011911,0.000113,0.012024,0.001092,21
Takla-Trembleur-Stuart-S,1964,0,0.00006,0.001806,0.001235,0.003041,0.000824,21
Takla-Trembleur-Stuart-S,1965,0,0.000228,1.102448,0.021752,1.1242,0.122786,21
Takla-Trembleur-Stuart-S,1966,0,0.000274,0.071954,0.001851,0.073805,0.004164,21
Takla-Trembleur-Stuart-S,1967,0,0.000224,0.006294,0.010038,0.016332,0.000897,21
Takla-Trembleur-Stuart-S,1968,0,0,0.027393,0.003906,0.031299,0.000179,21
Takla-Trembleur-Stuart-S,1969,0,0.002756,1.602892,0.019888,1.62278,0.1143,21
Takla-Trembleur-Stuart-S,1970,0,0.000318,0.07052,0,0.07052,0.008027,21
Takla-Trembleur-Stuart-S,1971,0,0.001243,0.065527,0,0.065527,0.000725,21
Takla-Trembleur-Stuart-S,1972,0,0,0.01618,0.002586,0.018766,0.003411,21
Takla-Trembleur-Stuart-S,1973,0,0.00029,0.658158,0.005807,0.663965,0.116703,21
Takla-Trembleur-Stuart-S,1974,0,0.000855,0.048593,0.001268,0.049861,0.007371,21
Takla-Trembleur-Stuart-S,1975,0,0.000541,0.214097,0.000478,0.214575,0.005679,21
Takla-Trembleur-Stuart-S,1976,0,0,0.003339,0,0.003339,0.001674,21
Takla-Trembleur-Stuart-S,1977,0,0.000104,1.313861,0.043776,1.357637,0.075962,21
Takla-Trembleur-Stuart-S,1978,0,0.000699,0.06982,0.008928,0.078748,0.007115,21
Takla-Trembleur-Stuart-S,1979,0,0,0.006854,0,0.006854,0.016711,21
Takla-Trembleur-Stuart-S,1980,0,0,0.02144,0,0.02144,0.000287,21
Takla-Trembleur-Stuart-S,1981,0,0,1.97801,0.055891,2.033901,0.120124,21
Takla-Trembleur-Stuart-S,1982,0,0.000193,0.052097,0.008699,0.060796,0.008681,21
Takla-Trembleur-Stuart-S,1983,0,0,0.014195,0.003717,0.017912,0.001451,21
Takla-Trembleur-Stuart-S,1984,0,0.000222,0.014522,0,0.014522,0.000672,21
Takla-Trembleur-Stuart-S,1985,0,0.007755,3.367086,0.132788,3.499874,0.159048,21
Takla-Trembleur-Stuart-S,1986,0,0.000264,0.725126,0.091171,0.816297,0.015045,21
Takla-Trembleur-Stuart-S,1987,0,0.000984,0.283932,0.095155,0.379087,0.002392,21
Takla-Trembleur-Stuart-S,1988,0,0.001552,0.207234,0,0.207234,0.003638,21
Takla-Trembleur-Stuart-S,1989,0,0.020256,5.162734,0.144134,5.306868,0.327098,21
Takla-Trembleur-Stuart-S,1990,0,0.00044,0.372685,0.016654,0.389339,0.111747,21
Takla-Trembleur-Stuart-S,1991,0,0.000354,0.091441,0.017786,0.109227,0.0402,21
Takla-Trembleur-Stuart-S,1992,0,0,0.12897,0.006429,0.135399,0.012422,21
Takla-Trembleur-Stuart-S,1993,0,0.004082,3.249145,0.511029,3.760174,1.184283,21
Takla-Trembleur-Stuart-S,1994,0,0,0.108011,0.007429,0.11544,0.040705,21
Takla-Trembleur-Stuart-S,1995,0,0.001366,0.092713,0.039375,0.132088,0.017181,21
Takla-Trembleur-Stuart-S,1996,0,0.000607,0.810002,0.212391,1.022393,0.027297,21
Takla-Trembleur-Stuart-S,1997,0,0.000081,0.351715,0.079099,0.430814,0.415149,21
Takla-Trembleur-Stuart-S,1998,0,0.000312,0.26439,0.01256,0.27695,0.067834,21
Takla-Trembleur-Stuart-S,1999,0,0.000023,0.11752,0.016079,0.133599,0.0338,21
Takla-Trembleur-Stuart-S,2000,0,0.001827,0.868657,0.042459,0.911116,0.22624,21
Takla-Trembleur-Stuart-S,2001,0,0.000029,0.415504,0.08981,0.505314,0.179534,21
Takla-Trembleur-Stuart-S,2002,0,0.00002,0.121483,0.004449,0.125932,0.01782,21
Takla-Trembleur-Stuart-S,2003,0,0.000011,0.015962,0.00581,0.021772,0.019208,21
Takla-Trembleur-Stuart-S,2004,0,0.00022,0.263681,0.019014,0.282695,0.05131,21
Takla-Trembleur-Stuart-S,2005,0,0.000089,0.104588113,0.014974,0.119562113,0.164548,21
Takla-Trembleur-Stuart-S,2006,0,0.000037,0.169236096,0.005218,0.174454096,0.014283,21
Takla-Trembleur-Stuart-S,2007,0,0.000048,0.005104848,NA,NA,0.004144,21
Takla-Trembleur-Stuart-S,2008,NA,NA,NA,NA,NA,0.057881,21
Takla-Trembleur-Stuart-S,2009,NA,NA,NA,NA,NA,0.043271,21
Takla-Trembleur-Stuart-S,2010,NA,NA,NA,NA,NA,0.043476,21
Takla-Trembleur-Stuart-S,2011,NA,NA,NA,NA,NA,0.000778,21
Takla-Trembleur-Stuart-S,2012,NA,NA,NA,NA,NA,0.031771,21
Takla-Trembleur-Stuart-S,2013,NA,NA,NA,NA,NA,0.070946,21
Francois-Fraser-S,1948,0,0,0.185175,0.022002,0.207177,0.009242,7
Francois-Fraser-S,1949,0,0.000133,0.173402,0.006341,0.179743,0.040231,7
Francois-Fraser-S,1950,0,0.00463,0.903768,0.030719,0.934487,0.07741,7
Francois-Fraser-S,1951,0,0.000026,0.354049,0.101292,0.455341,0.051413,7
Francois-Fraser-S,1952,0,0.000023,0.093984,0.016694,0.110678,0.01992,7
Francois-Fraser-S,1953,0,0.00003,0.156192,0.018023,0.174215,0.020388,7
Francois-Fraser-S,1954,0,0.003311,1.140205,0.067783,1.207988,0.072273,7
Francois-Fraser-S,1955,0,0.000028,0.602677,0.027091,0.629768,0.029937,7
Francois-Fraser-S,1956,0,0.000092,0.2204,0.026243,0.246643,0.021686,7
Francois-Fraser-S,1957,0,0.000008,0.143835,0.008,0.151835,0.018044,7
Francois-Fraser-S,1958,0,0.001156,0.323089,0.016215,0.339304,0.061581,7
Francois-Fraser-S,1959,0,0.000017,0.514918,0.026485,0.541403,0.041872,7
Francois-Fraser-S,1960,0,0.000019,0.14334,0.021155,0.164495,0.022718,7
Francois-Fraser-S,1961,0,0.000288,0.137046,0.010068,0.147114,0.018136,7
Francois-Fraser-S,1962,0,0.0001,0.572029,0.017376,0.589405,0.044532,7
Francois-Fraser-S,1963,0,0.000977,0.713487,0.013462,0.726949,0.041535,7
Francois-Fraser-S,1964,0,0.000194,0.170674,0.006969,0.177643,0.016161,7
Francois-Fraser-S,1965,0,0.000179,0.2311,0.012372,0.243472,0.020479,7
Francois-Fraser-S,1966,0,0.000833,0.336316,0.022757,0.359073,0.051509,7
Francois-Fraser-S,1967,0,0.000288,0.531886,0.01835,0.550236,0.032467,7
Francois-Fraser-S,1968,0,0.000085,0.1259,0.003837,0.129737,0.01368,7
Francois-Fraser-S,1969,0,0.000131,0.235729,0.017385,0.253114,0.025629,7
Francois-Fraser-S,1970,0,0.00117,0.228808,0.00413,0.232938,0.026727,7
Francois-Fraser-S,1971,0,0.000496,0.508759,0,0.508759,0.020147,7
Francois-Fraser-S,1972,0,0.000204,0.711226,0.044784,0.75601,0.019938,7
Francois-Fraser-S,1973,0,0.000011,0.075813,0.010077,0.08589,0.015424,7
Francois-Fraser-S,1974,0,0.001823,0.281752,0.019534,0.301286,0.023718,7
Francois-Fraser-S,1975,0,0.003852,1.832708,0.064645,1.897353,0.068451,7
Francois-Fraser-S,1976,0,0.00015,0.216701,0.027506,0.244207,0.063865,7
Francois-Fraser-S,1977,0,0.000074,0.209138,0.056488,0.265626,0.010894,7
