Year,Watershed Group Name,Stock Name(stream),Timing Group,Name,Total,jacks,males,females,spawn%,eff_fem,fpsm,DUID,
1968,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,6284,110,2647,3527,69.41,2447,1080,1,
1969,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,676,80,208,388,72.04,280,108,1,
1970,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,735,695,24,16,43.75,7,9,1,
1971,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,1502,1220,83,199,36.93,73,126,1,
1972,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,6807,164,3244,3399,65.93,2241,1158,1,
1973,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,668,98,187,383,75.26,288,95,1,
1974,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,1645,1581,21,43,79.07,34,9,1,
1975,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,3768,2156,466,1146,87.8,1006,140,1,
1976,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,14855,511,5617,8727,84.61,7384,1343,1,
1977,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,1713,182,604,927,78.21,725,202,1,
1978,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,1639,1492,43,104,77.45,81,23,1,
1979,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,4118,862,997,2259,64.23,1451,808,1,
1980,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,21140,341,7985,12814,74.22,9511,3303,1,
1981,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,3988,92,1631,2265,77.01,1744,521,1,
1982,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,1977,1148,316,513,80.02,411,102,1,
1983,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,7498,925,2502,4071,70.54,2872,1199,1,
1984,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,26394,141,12064,14189,60.06,8598,5591,1,
1985,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,4664,748,1539,2377,75.62,1798,579,1,
1986,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,4253,1075,1223,1955,86.42,1690,265,1,
1987,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,8065,373,3070,4622,72.89,3369,1253,1,
1988,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,31100,3699,13702,13699,73.66,10091,3608,1,
1989,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,16345,2350,4755,9240,88.19,8149,1091,1,
1990,Seton-Anderson,Gates Channel,T2,Anderson-Seton - Early Summer,5497,1116,1413,2968,90.73,2693,275,1,
1938,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,13,0,6,7,78.3,5,2,1,
1940,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,221,0,110,111,78.3,87,24,1,
1944,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,400,0,200,200,78.3,157,43,1,
1952,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,7070,0,2838,4232,98,4147,85,1,
1953,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,74,0,37,37,78.3,29,8,1,
1954,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,45,0,22,23,78.3,18,5,1,
1955,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,77,0,38,39,78.3,31,8,1,
1956,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,7848,41,3435,4372,94.86,4147,225,1,
1957,Seton-Anderson,Gates Creek,T2,Anderson-Seton - Early Summer,891,0,445,446,96.08,429,17,1,
